date,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
2013/4/20,0.33254717,0.353773585,0.337777778,0.227848101,0.743902439,0.485549133,0,0.082352941,0.196850394,0.01934028,0.098827471,0.089695415,0.130268199,0.133757962,0.272727273,0.633333333,0.833333333
2013/4/21,0.410377358,0.443396226,0.42,0.202531646,0.62195122,0.416184971,0,0.152941176,0.31496063,0.027754999,0.174204355,0.147632816,0.168582375,0.252653928,0.272727273,0.666666667,1
2013/4/22,0.410377358,0.490566038,0.364444444,0.126582278,0.87804878,0.342967245,0.140350877,0.082352941,0.283464567,0.028094302,0.21440536,0.200660268,0.022988506,0.324840764,0.272727273,0.7,0
2013/4/23,0.476415094,0.474056604,0.528888889,0.075949367,0.804878049,0.356454721,0,0.094117647,0.377952756,0.025637747,0.170854271,0.18494843,0.203065134,0.246284501,0.272727273,0.733333333,0.166666667
2013/4/24,0.573113208,0.54009434,0.637777778,0.164556962,0.646341463,0.352601156,0,0.141176471,0.511811024,0.022299004,0.170854271,0.225210014,0.295019157,0.246284501,0.272727273,0.766666667,0.333333333
2013/4/25,0.627358491,0.587264151,0.68,0.202531646,0.280487805,0.358381503,0,0.170588235,0.535433071,0.014793618,0.132328308,0.225210014,0.379310345,0.237791932,0.272727273,0.8,0.5
2013/4/26,0.646226415,0.570754717,0.686666667,0.240506329,0.280487805,0.242774566,0,0.188235294,0.511811024,0.014793618,0.132328308,0.208516186,0.421455939,0.218683652,0.272727273,0.833333333,0.666666667
2013/4/27,0.719339623,0.639150943,0.777777778,0.139240506,0.390243902,0.144508671,0,0.129411765,0.448818898,0.016042254,0.108877722,0.18494843,0.482758621,0.233545648,0.272727273,0.866666667,0.833333333
2013/4/28,0.70990566,0.702830189,0.688888889,0.240506329,0.426829268,0.215799615,0,0.194117647,0.496062992,0.016951586,0.190954774,0.253687719,0.45210728,0.282377919,0.272727273,0.9,1
2013/4/29,0.589622642,0.608490566,0.642222222,0.278481013,0.56097561,0.385356455,0.040350877,0.1,0.251968504,0.008916887,0.056951424,0.110317202,0.172413793,0.112526539,0.272727273,0.933333333,0
2013/4/30,0.606132075,0.570754717,0.657777778,0.189873418,0.512195122,0.400770713,0,0.117647059,0.228346457,0.007898978,0.05360134,0.081839497,0.417624521,0.13163482,0.272727273,0.966666667,0.166666667
2013/5/1,0.617924528,0.570754717,0.653333333,0.164556962,0.390243902,0.292870906,0,0.152941176,0.448818898,0.014576464,0.110552764,0.178074501,0.22605364,0.186836518,0.363636364,0,0.333333333
2013/5/2,0.700471698,0.683962264,0.733333333,0.189873418,0.341463415,0.244701349,0,0.135294118,0.31496063,0.010124806,0.061976549,0.118173121,0.455938697,0.148619958,0.363636364,0.033333333,0.5
2013/5/3,0.683962264,0.655660377,0.708888889,0.35443038,0.353658537,0.289017341,0,0.176470588,0.354330709,0.014725757,0.085427136,0.162362664,0.513409962,0.16985138,0.363636364,0.066666667,0.666666667
2013/5/4,0.672169811,0.683962264,0.655555556,0.316455696,0.414634146,0.325626204,0,0.117647059,0.25984252,0.012119909,0.122278057,0.159416694,0.46743295,0.16985138,0.363636364,0.1,0.833333333
2013/5/5,0.627358491,0.686320755,0.608888889,0.506329114,0.609756098,0.317919075,0.014035088,0.058823529,0.165354331,0.011183432,0.117252931,0.130938989,0.352490421,0.161358811,0.363636364,0.133333333,1
2013/5/6,0.577830189,0.650943396,0.5,0.493670886,0.780487805,0.331406551,0,0.076470588,0.212598425,0.012513501,0.127303183,0.12406506,0.180076628,0.178343949,0.363636364,0.166666667,0
2013/5/7,0.575471698,0.650943396,0.497777778,0.316455696,0.792682927,0.33911368,0,0.1,0.25984252,0.012866376,0.149078727,0.150578786,0.118773946,0.212314225,0.363636364,0.2,0.166666667
2013/5/8,0.554245283,0.646226415,0.491111111,0.35443038,0.804878049,0.33911368,0.056140351,0.1,0.244094488,0.009744787,0.103852596,0.105407253,0.157088123,0.140127389,0.363636364,0.233333333,0.333333333
2013/5/9,0.596698113,0.629716981,0.613333333,0.392405063,0.585365854,0.356454721,0.101754386,0.105882353,0.228346457,0.00899832,0.023450586,0.067109649,0.22605364,0.06581741,0.363636364,0.266666667,0.5
2013/5/10,0.634433962,0.551886792,0.711111111,0.126582278,0.280487805,0.306358382,0,0.135294118,0.330708661,0.008699733,0.056951424,0.103443273,0.383141762,0.106157113,0.363636364,0.3,0.666666667
2013/5/11,0.714622642,0.603773585,0.802222222,0.253164557,0.170731707,0.183044316,0,0.141176471,0.267716535,0.006840352,0.046901173,0.096569344,0.38697318,0.10403397,0.363636364,0.333333333,0.833333333
2013/5/12,0.778301887,0.641509434,0.884444444,0.189873418,0.134146341,0.125240848,0,0.205882353,0.31496063,0.009310479,0.061976549,0.113263172,0.475095785,0.178343949,0.363636364,0.366666667,1
